abap microsoft/aisdkforsapabap
csharp microsoft/vs-validation
csharp microsoft/xamlbehaviors
csharp microsoft/xbox-live-developer-tools
csharp microsoft/yams
csharp valvesoftware/the_lab_renderer
cuda microsoft/swin3d
dart google/ansicolor-dart
dart google/built_collection.dart
dart google/dart-basics
dart google/dart-neats
dart google/flutter.plugins
dart google/flutter.widgets
dart google/flutter-mediapipe
dart google/grinder.dart
dart google/mono_repo.dart
dart google/quiver-dart
dart google/tuple.dart
dart google/webdriver.dart
dockerfile azure/azure-functions-docker
dockerfile azure/static-web-apps-deploy
dockerfile dotnet/machinelearning-modelbuilder
dockerfile microsoft/code-with-engineering-playbook
dockerfile microsoft/dotnet-framework-docker
dockerfile microsoft/iis-docker
dockerfile microsoft/mssql-docker
dockerfile microsoft/vscode-remote-release
dockerfile rails/docked
ejs mapbox/mbview
go aws/amazon-cloudwatch-logs-for-fluent-bit
go aws/amazon-ec2-instance-selector
go aws/amazon-ec2-metadata-mock
go aws/amazon-eks-pod-identity-webhook
go aws/aws-cdk-go
go aws/aws-node-termination-handler
go aws/aws-xray-daemon
go aws/aws-xray-sdk-go
go aws/ec2-macos-init
go aws/rolesanywhere-credential-helper
go aws/secrets-store-csi-driver-provider-aws
go aws/session-manager-plugin
go azure/aks-periscope
go azure/aztfexport
go azure/azure-workload-identity
go azure/custom-script-extension-linux
go azure/go-ntlmssp
go azure/kubelogin
go azure/kubernetes-kms
go azure/orkestra
go azure/secrets-store-csi-driver-provider-azure
go azure/terraform-azurerm-lz-vending
go bazelbuild/bazelisk
go bazelbuild/bazel-toolchains
go bazelbuild/bazel-watcher
go bazelbuild/remote-apis
go digitalocean/do-agent
go facebookincubator/dhcplb
go facebookincubator/tacquito
go facebookincubator/ttpforge
go golang/freetype
go golang/glog
go golang/groupcache
go golang/oauth2
go golang/term
go google/addlicense
go google/btree
go google/buzzer
go google/capslock
go google/chrome-ssh-agent
go google/code-review-bot
go google/codesearch
go google/crfs
go google/der-ascii
go google/dnsmasq_exporter
go google/fscrypt
go google/fswalker
go google/generative-ai-go
go google/git-appraise
go google/gke-policy-automation
go google/gnostic-grpc
go google/goblet
go google/go-dap
go google/go-flow-levee
go google/go-intervals
go google/go-licenses
go google/gonids
go google/gops
go google/go-querystring
go google/go-replayers
go google/go-tika
go google/hashr
go google/inverting-proxy
go google/jsonapi
go google/k8s-digester
go google/keep-sorted
go google/kube-startup-cpu-boost
go google/licensecheck
go google/licenseclassifier
go google/localtoast
go google/logger
go google/note-maps
go google/oauth2l
go google/renameio
go google/rpmpack
go google/safebrowsing
go google/safehtml
go google/safetext
go google/subcommands
go google/todo-tracks
go google/triage-party
go google/uuid
go google/winops
go google/wire
go google/yamlfmt
go grafana/carbon-relay-ng
go grafana/cortex-tools
go grafana/cuetsy
go grafana/dashboard-linter
go grafana/github-datasource
go grafana/google-sheets-datasource
go grafana/grafana-kiosk
go grafana/grafana-operator
go grafana/grizzly
go grafana/jsonnet-language-server
go grafana/kubernetes-diff-logger
go grafana/mqtt-datasource
go grafana/pyroscope-go
go grafana/rollout-operator
go grafana/tanka
go grafana/xk6
go hyperledger/fabric-chaincode-go
go hyperledger/fabric-contract-api-go
go hyperledger/fabric-private-chaincode
go hyperledger/fabric-samples
go kubernetes/cli-runtime
go kubernetes/cri-api
go kubernetes/dns
go kubernetes/enhancements
go kubernetes/gengo
go kubernetes/klog
go kubernetes/kompose
go kubernetes/kubeadm
go kubernetes/kube-aggregator
go kubernetes/kubelet
go kubernetes/kube-proxy
go kubernetes/kube-scheduler
go kubernetes/metrics
go kubernetes/org
go kubernetes/utils
go kubernetes-csi/csi-driver-nfs
go kubernetes-csi/csi-driver-smb
go kubernetes-csi/external-attacher
go kubernetes-csi/external-resizer
go mattermost/mattermost-plugin-ai
go mattermost/mattermost-plugin-github
go mattermost/mattermost-plugin-zoom
go microsoft/applicationinsights-go
go microsoft/durabletask-go
go microsoft/ethr
go microsoft/go
go microsoft/go-winio
go microsoft/kubegpu
go nginx/nginx-prometheus-exporter
go protocolbuffers/protoscope
go protocolbuffers/txtpbfmt
go shopify/ejson
go shopify/go-lua
go shopify/themekit
groovy google/protobuf-gradle-plugin
handlebars microsoft/vscode-codicons
haskell facebook/haxl
haskell google/haskell-indexer
haskell google/haskell-trainings
haskell google/mlir-hs
hcl azure/aks-landing-zone-accelerator
hcl azure/alz-terraform-accelerator
hcl azure/apim-landing-zone-accelerator
hcl azure/enterprise-scale-for-avs
hcl azure/terraform-azurerm-aks
hcl azure/terraform-azurerm-caf-enterprise-scale
hcl azure/terraform-azurerm-compute
hcl azure/terraform-azurerm-naming
hcl azure/terraform-azurerm-network
hcl azure/wordpress-linux-appservice
hcl microsoft/cobalt
java aws/aws-iot-device-sdk-java
java aws/aws-msk-iam-auth
java aws/aws-secretsmanager-jdbc
java aws/elastic-load-balancing-tools
java azure/azure-event-hubs-for-kafka
java bazelbuild/rules_closure
java facebook/soloader
java facebook/textlayoutbuilder
java facebookincubator/battery-metrics
java google/allocation-instrumenter
java google/android-lint-performance-probe
java google/capillary
java google/cordova-plugin-browsertab
java google/cronet-transport-for-okhttp
java google/elemental2
java google/gps-measurement-tools
java google/live-transcribe-speech-engine
java google/mail-importer
java google/myanmar-tools
java google/open-location-code
java google/osdetector-gradle-plugin
java google/play-licensing
java google/play-services-plugins
java google/project-gameface
java google/walt
java google/zetasketch
java hyperledger/fabric-gateway
java hyperledger/fabric-gateway-java
java mapbox/flutter-mapbox-gl
java matomo-org/matomo-sdk-android
java microsoft/cognitive-emotion-android
java microsoft/cognitive-vision-android
java microsoft/spring-cloud-azure
javascript amzn/sketch-constructor
javascript angular/dgeni-packages
javascript aspnet/jquery-ajax-unobtrusive
javascript aspnet/jquery-validation-unobtrusive
javascript auth0/react-native-auth0
javascript aws/aws-cdk-rfcs
javascript aws/aws-iot-device-sdk-js
javascript aws/aws-lambda-nodejs-runtime-interface-client
javascript aws/aws-ops-wheel
javascript azure/azure-cosmosdb-js-server
javascript azure/blackbelt-aks-hackfest
javascript azure/cloud-native
javascript azure/serverlesslibrary
javascript azure/unreal-pixel-streaming
javascript azure/webapps-deploy
javascript circlefin/stablecoin-evm
javascript endojs/jessie
javascript facebook/fbjs
javascript facebook/react-strict-dom
javascript google/aeux
javascript google/android-emulator-webrtc
javascript google/closure-compiler-npm
javascript google/data-layer-helper
javascript google/detangle
javascript google/eleventy-high-performance-blog
javascript google/eslint-config-google
javascript google/extra-keyboards-for-chrome-os
javascript google/ga4-gtm-migration
javascript google/google-analytics-utilities
javascript google/imageinwords
javascript google/oatts
javascript google/password-alert
javascript google/pprof-nodejs
javascript google/schemarama
javascript google/service-worker-detector
javascript google/swissgl
javascript google/voice-builder
javascript google/wwwbasic
javascript google/zx
javascript grafana/har-to-k6
javascript grafana/intro-to-mltp
javascript grafana/k6-learn
javascript grafana/piechart-panel
javascript jitsi/handbook
javascript jitsi/jidesha
javascript jitsi/jitsi-meet-electron
javascript mapbox/abaculus
javascript mapbox/batfish
javascript mapbox/cheap-ruler
javascript mapbox/concaveman
javascript mapbox/csv2geojson
javascript mapbox/delatin
javascript mapbox/delaunator
javascript mapbox/dynamodb-replicator
javascript mapbox/flamebearer
javascript mapbox/geobuf
javascript mapbox/geojson.io
javascript mapbox/geojson-area
javascript mapbox/geojson-merge
javascript mapbox/geojson-rewind
javascript mapbox/geojson-vt
javascript mapbox/geo-viewport
javascript mapbox/hubdb
javascript mapbox/landsat-tiler
javascript mapbox/leaflet-image
javascript mapbox/leaflet-omnivore
javascript mapbox/leaflet-pip
javascript mapbox/lineclip
javascript mapbox/maki
javascript mapbox/mapbox-gl-compare
javascript mapbox/mapbox-gl-directions
javascript mapbox/mapbox-gl-draw
javascript mapbox/mapbox-gl-geocoder
javascript mapbox/mapbox-gl-language
javascript mapbox/mapbox-gl-leaflet
javascript mapbox/mapbox-gl-styles
javascript mapbox/mapbox-isochrone
javascript mapbox/mapbox-sdk-js
javascript mapbox/mapbox-tile-copy
javascript mapbox/mapping
javascript mapbox/martini
javascript mapbox/node-fontnik
javascript mapbox/node-mbtiles
javascript mapbox/node-pre-gyp
javascript mapbox/pbf
javascript mapbox/polyline
javascript mapbox/potpack
javascript mapbox/shelf-pack
javascript mapbox/shp-write
javascript mapbox/spritezero
javascript mapbox/spritezero-cli
javascript mapbox/supercluster
javascript mapbox/tile-cover
javascript mapbox/tilelive
javascript mapbox/tile-reduce
javascript mapbox/togeojson
javascript mapbox/tokml
javascript mapbox/vector-tile-js
javascript mapbox/vt2geojson
javascript mapbox/vt-pbf
javascript mapbox/webgl-wind
javascript mapbox/wellknown
javascript mapbox/which-polygon
javascript matomo-org/matomo-nodejs-tracker
javascript microsoft/adfswebcustomization
javascript microsoft/appcenter-sdk-react-native
javascript microsoft/beginners-intro-javascript-node
javascript microsoft/generative-ai-with-javascript
javascript microsoft/genstudio
javascript microsoft/iot-curriculum
javascript microsoft/jsanity
javascript microsoft/license-checker-webpack-plugin
javascript microsoft/low-code
javascript microsoft/microsoftedge-extensions
javascript microsoft/mouselog
javascript microsoft/opensource.microsoft.com
javascript microsoft/rust-for-dotnet-devs
javascript microsoft/security-devops-action
javascript microsoft/typescript-compiler-notes
javascript microsoft/typescript-website-localizations
javascript microsoft/typescript-wiki
javascript microsoft/uf2
javascript microsoft/vscode-anycode
javascript microsoft/vscode-atom-keybindings
javascript microsoft/vscode-generator-code
javascript microsoft/vscode-loader
javascript microsoft/vscode-recipes
javascript microsoft/vscode-ripgrep
javascript microsoft/vscode-typescript-next
javascript microsoft/web-dev-for-beginners
javascript owncloud/richdocuments
javascript rails/jquery-ujs
javascript rails/request.js
javascript rails/requestjs-rails
javascript rails/sdoc
javascript ruby/setup-ruby
javascript shopify/buy-button-js
javascript shopify/draggable
javascript shopify/graphql-js-client
javascript shopify/js-buy-sdk
javascript shopify/node-themekit
javascript shopify/shopify-app-template-node
javascript shopify/shopify-frontend-template-react
javascript shopify/storefront-api-learning-kit
javascript shopify/turbograft
javascript shopify/web-configs
javascript valvesoftware/counter-strike_regional_standings
jsonnet grafana/grafonnet
kotlin amzn/awsssmchaosrunner
kotlin amzn/kotlin-inject-anvil
kotlin bazelbuild/rules_kotlin
kotlin facebookincubator/dataclassgenerate
kotlin google/accompanist
kotlin google/android-security-lints
kotlin google/coroutine-stacks
kotlin google/glance-experimental-tools
kotlin google/prefab
kotlin google/secrets-gradle-plugin
kotlin jitsi/jibri
kotlin kiwicom/navigation-compose-typed
kotlin microsoft/surface-duo-compose-sdk
kotlin plaid/plaid-link-android
kotlin shopify/livedata-ktx
kotlin transferwise/sequence-layout
liquid shopify/reference-theme
liquid shopify/skeleton-theme
liquid shopify/theme-extension-getting-started
lua google/executor.nvim
lua google/fluidnet
lua jitsi/docker-jitsi-meet
makefile google/gf180mcu-pdk
mathematica azure/ccoinsights
mustache amzn/selling-partner-api-models
mustache aws/eks-charts
objective-c facebookincubator/socketrocket
objective-c google/functional-objc
objective-c google/googlesignin-ios
objective-c google/gtxilib
objective-c google/macops-planb
objective-c google/promises
objective-c mapbox/simple-kml
objective-c plaid/plaid-link-ios
objective-c++ facebook/fbretaincycledetector
objective-c++ mapbox/xcodeclangformat
open policy agent azure/community-policy
perl microsoft/pqcrypto-vpn
php amzn/amazon-pay-sdk-php
php aws/aws-php-sns-message-validator
php aws/aws-sdk-php-laravel
php aws/aws-sdk-php-symfony
php aws/aws-sdk-php-zf2
php google/php-crc32
php google/recaptcha
php google/sqlcommenter
php matomo-org/device-detector
php matomo-org/matomo-php-tracker
php matomo-org/tracker-proxy
php shopify/shopify-app-template-php
plpgsql mapbox/postgis-vt-util
powershell azure/arm-ttk
powershell azure/azops-accelerator
powershell azure/azure-functions
powershell azure/azure-iotedge
powershell azure/azurestack-quickstart-templates
powershell azure/azure-verified-modules
powershell azure/cloud-katana
powershell azure/cloudshell
powershell azure/enterprise-scale
powershell azure/microsoft-defender-for-cloud
powershell azure/networkmonitoring
powershell azure/securedworkstation
powershell azure/security-copilot
powershell azure/service-fabric-troubleshooting-guides
powershell azure/simuland
powershell azure/wellarchitected-tools
powershell dotnet/core
powershell dotnet/install-scripts
powershell dotnet/windowsdesktop
powershell microsoft/aaronlocker
powershell microsoft/adfstoolbox
powershell microsoft/al-go-pte
powershell microsoft/azureadtoolkit
powershell microsoft/azuremonitorcommunity
powershell microsoft/coe-alm-accelerator-templates
powershell microsoft/conditionalaccessforzerotrustresources
powershell microsoft/entraexporter
powershell microsoft/gdk
powershell microsoft/intune-acsc-windows-hardening-guidelines
powershell microsoft/mde-powerbi-templates
powershell microsoft/microsoft-cloud-app-security
powershell microsoft/microsoft-defender-for-identity
powershell microsoft/msrc-microsoft-security-updates-api
powershell microsoft/mstic-sysmon
powershell microsoft/powerbi-loganalytics-template-reports
powershell microsoft/powerplatformadvocates
powershell microsoft/reversedsc
powershell microsoft/speculationcontrol
powershell microsoft/unitysetup.powershell
powershell microsoft/windows-containers
powershell microsoft/windows-dev-box-setup-scripts
powershell microsoft/windows-sandbox
powershell microsoft/winget-pkgs
powershell octopusdeploy/library
python amzn/convolutional-handwriting-gan
python amzn/distance-assistant
python amzn/trans-encoder
python angular/clang-format
python argoproj/argoproj
python aws/amazon-s3-plugin-for-pytorch
python aws/aws-ec2-instance-connect-cli
python aws/aws-eks-best-practices
python aws/aws-elastic-beanstalk-cli-setup
python aws/aws-graviton-getting-started
python aws/aws-imds-packet-analyzer
python aws/aws-iot-device-sdk-arduino-yun
python aws/aws-lambda-python-runtime-interface-client
python aws/aws-secretsmanager-caching-python
python aws/aws-xray-sdk-python
python aws/git-remote-codecommit
python aws/porting-advisor-for-graviton
python aws/sagemaker-experiments
python aws/sagemaker-huggingface-inference-toolkit
python aws/sagemaker-inference-toolkit
python aws/sagemaker-pytorch-inference-toolkit
python aws/sagemaker-pytorch-training-toolkit
python aws/sagemaker-scikit-learn-container
python aws/sagemaker-tensorflow-training-toolkit
python aws/sagemaker-training-toolkit
python aws/sagemaker-xgboost-container
python azure/aoai-apim
python azure/azure-functions-durable-python
python azure/azure-network-security
python azure/azure-openai-benchmark
python azure/co-op-translator
python azure/counterfit
python azure/gitops-connector
python azure/iotedgedev
python azure/mlops-templates
python azure/ms-amp
python azure/stormspotter
python bazelbuild/continuous-integration
python django/asgiref
python django/channels
python django/channels_redis
python django/daphne
python django/djangobench
python django/django-contrib-comments
python django/djangosnippets.org
python facebook/chisel
python facebook/pathpicker
python facebook/prophet
python facebook/threat-research
python facebook/usort
python facebookincubator/bowler
python facebookincubator/fiosynth
python facebookincubator/senpai
python facebookincubator/submitit
python freedomofpress/securedrop-workstation
python golang/sublime-build
python google/active-learning
python google/adb-sync
python google/atheris
python google/attention-center
python google/autobound
python google/balloon-learning-environment
python google/bayesnf
python google/binja-hexagon
python google/bi-tempered-loss
python google/break-a-scene
python google/budou
python google/budoux
python google/ceviche-challenges
python google/deluca
python google/dfiq
python google/docker-explorer
python google/e3d_lstm
python google/gcp_scanner
python google/gemma_pytorch
python google/giftstick
python google/gin-config
python google/hypernerf
python google/importlab
python google/import-mailbox-to-gmail
python google/it-cert-automation-practice
python google/kernel-sanitizers
python google/latexify_py
python google/lightweight_mmm
python google/macops
python google/ml_collections
python google/mozc-devices
python google/nerfies
python google/nsscache
python google/objax
python google/oss-fuzz-vulns
python google/pasta
python google/pybadges
python google/python-fire
python google/rax
python google/sg2im
python google/shuwa
python google/skywater-pdk
python google/slang-gaussian-rasterization
python google/slo-generator
python google/spatial-media
python google/sre_yield
python google/swift-jupyter
python google/textfsm
python google/tirg
python google/tree-math
python google/uis-rnn
python google/ukip
python google/unisim
python google/uvq
python google/vimdoc
python google/xarray-beam
python google/xee
python google/youtube-8m
python grafana/django-saml2-auth
python grafana/grafana-ansible-collection
python jitsi/jiwer
python kiwicom/structlog-sentry
python mapbox/cncc
python mapbox/mapboxgl-jupyter
python mapbox/mbutil
python mapbox/mercantile
python mapbox/pyskel
python mapbox/rio-color
python mapbox/rio-mbtiles
python mapbox/rio-rgbify
python mapbox/robosat
python mapbox/supermercado
python mapbox/tilesets-cli
python matomo-org/matomo-log-analytics
python matomo-org/piwik-python-api
python microsoft/0xdeca10b
python microsoft/ai
python microsoft/ai2bmd
python microsoft/aiopslab
python microsoft/airsim-drone-racing-lab
python microsoft/airsim-drone-racing-vae-imitation
python microsoft/airsim-neurips2019-drone-racing
python microsoft/ai-system
python microsoft/ance
python microsoft/anomalydetector
python microsoft/applicationinsights-python
python microsoft/astra
python microsoft/aurora
python microsoft/azure-genai-design-patterns
python microsoft/bioemu
python microsoft/biogpt
python microsoft/bistring
python microsoft/bridgetower
python microsoft/bringing-old-photos-back-to-life
python microsoft/call-center-ai
python microsoft/cascadia-code
python microsoft/clap
python microsoft/cliffordlayers
python microsoft/climax
python microsoft/cocosnet
python microsoft/cocosnet-v2
python microsoft/codeql-container
python microsoft/codet
python microsoft/codex-cli
python microsoft/cogact
python microsoft/cognitive-luis-python
python microsoft/confignet
python microsoft/cookiecutter-python-flask-clean-architecture
python microsoft/cookiecutter-spacy-fastapi
python microsoft/cswin-transformer
python microsoft/cvt
python microsoft/deberta
python microsoft/deep3dfacereconstruction
python microsoft/dialogpt
python microsoft/dif-net
python microsoft/discofacegan
python microsoft/dns-challenge
python microsoft/dp-transformers
python microsoft/dpu-utils
python microsoft/dualoctreegnn
python microsoft/dynamichead
python microsoft/esvit
python microsoft/everything-of-thoughts-xot
python microsoft/evodiff
python microsoft/fadtk
python microsoft/fairmot
python microsoft/fastseq
python microsoft/film
python microsoft/fluentui-emoji
python microsoft/focalnet
python microsoft/focal-transformer
python microsoft/fs-mol
python microsoft/genaiops-promptflow-template
python microsoft/generativeimage2text
python microsoft/globalmlbuildingfootprints
python microsoft/godel
python microsoft/gpt-review
python microsoft/gram
python microsoft/ics-forensics-tools
python microsoft/imitating-human-behaviour-w-diffusion
python microsoft/infinibatch
python microsoft/irnet
python microsoft/jarvis
python microsoft/kear
python microsoft/knack
python microsoft/llama-2-onnx
python microsoft/llava-med
python microsoft/llm2clip
python microsoft/llm-data-creation
python microsoft/llmlingua
python microsoft/longrope
python microsoft/lora
python microsoft/macaw
python microsoft/magma
python microsoft/markitdown
python microsoft/mars
python microsoft/mass
python microsoft/mastering-github-copilot-for-paired-programming
python microsoft/meshgraphormer
python microsoft/meshtransformer
python microsoft/microsoft-rocketbox
python microsoft/microxcaling
python microsoft/mimic_sepsis
python microsoft/mlops_videoanomalydetection
python microsoft/mlopspython
python microsoft/mocapact
python microsoft/molskill
python microsoft/msccl-tools
python microsoft/ms-lumos
python microsoft/msmarco-document-ranking
python microsoft/msmarco-question-answering
python microsoft/msrc-security-research
python microsoft/mssql-django
python microsoft/mstic
python microsoft/mt-dnn
python microsoft/multi-agent-custom-automation-engine-solution-accelerator
python microsoft/multilspy
python microsoft/multiview-human-pose-estimation-pytorch
python microsoft/neurips21-self-supervised-bug-detection-and-repair
python microsoft/npkit
python microsoft/onnxconverter-common
python microsoft/openaiworkshop
python microsoft/openkp
python microsoft/orbit-dataset
python microsoft/otdd
python microsoft/pengi
python microsoft/personalizedfl
python microsoft/picologging
python microsoft/pike-rag
python microsoft/planetary-computer-apis
python microsoft/pointersql
python microsoft/powerbi-jupyter
python microsoft/proda
python microsoft/promptcraft-robotics
python microsoft/prompt-engine-py
python microsoft/promptwizard
python microsoft/prompty
python microsoft/protein-sequence-models
python microsoft/ptgnn
python microsoft/pubsec-info-assistant
python microsoft/python-package-template
python microsoft/qlib-server
python microsoft/rag-experiment-accelerator
python microsoft/ras
python microsoft/rat-sql
python microsoft/react
python microsoft/redstone
python microsoft/relation-aware-global-attention-networks
python microsoft/relationnet2
python microsoft/reppoints
python microsoft/routeros-scanner
python microsoft/rstar
python microsoft/samba
python microsoft/sammo
python microsoft/sarif-tools
python microsoft/scenelandmarklocalization
