abap microsoft/aisdkforsapabap
c microsoft/mu_feature_ffa
c microsoft/mu_feature_ipmi
c microsoft/mysqlnd_azure
c microsoft/ndis-driver-library
c microsoft/net-offloads
c microsoft/node-native-watchdog
c microsoft/ntosebpfext
c microsoft/ntttcp
c microsoft/ntttcp-for-linux
c microsoft/odbc-specification
c microsoft/openvpn-gui
c microsoft/opus-vad
c microsoft/pqcrypto-lweke
c microsoft/pxt-arcade-smart-shield
c microsoft/qtesla-library
c microsoft/react-native-nuance-mix
c microsoft/synthacorpus
c microsoft/sysinternalsebpf
c microsoft/tcptrace
c microsoft/uf2-linux
c microsoft/webauthn
c microsoft/wolfmqtt
c nginx/ngx_http_delay_body_filter_module
c nginx/unit-wasm
c ruby/bigdecimal
c ruby/curses
c ruby/date
c ruby/dbm
c ruby/digest
c ruby/etc
c ruby/fcntl
c ruby/gdbm
c ruby/iconv
c ruby/mmtkruby shopify/delayed_job
c ruby/readline-ext
c ruby/sdbm
c ruby/strscan
c ruby/syck
c ruby/vterm-gem
c ruby/win32ole
c ruby/zlib
c shopify/escape_utils
c shopify/gc_tracer
c shopify/libserdes
c shopify/libyaml
c shopify/liquid-c
c shopify/lmdb
c shopify/onigmo
c shopify/swift-sodium
c tempus-ex/arduino-sdigroovy transferwise/grails-bugsnag-plugin
c valvesoftware/libmysofa
c valvesoftware/openxr-canonical-pose-tool
c valvesoftware/voglperf
c worldcoin/orb-secure-element
clojure google/clojure-turtle
clojure microsoft/same-ish
cmake aws/thinkbox-cm-library
cmake azure/azure-sdk-vcpkg-betas
cmake google/idaidle
cmake mapbox/cmake-node-module
cmake mapbox/hpp-skel
codeql microsoft/codeql-101
codeql microsoft/global-resource-leaks-codeql
codeql microsoft/windows-driver-developer-supplemental-tools
coffeescript shopify/twine
cpp amzn/amazon-template-library
cpp amzn/hawktracer
cpp amzn/robotiq-gripper-interface
cpp aws/amazon-chime-sdk-cpp
cpp aws/audit-plugin-for-mysql
cpp aws/credentials-fetcher
cpp aws/device-storelibrary-cpp
cpp aws/obs-cdi
cpp aws/sagemaker-tensorflow-extensions
cpp aws/thinkbox-frost
cpp aws/thinkbox-my-library
cpp aws/thinkbox-node-view
cpp aws/thinkbox-xmesh
cpp aws/thinkbox-xmesh-my
cpp azure/arc_jumpstart_drops
cpp azure/azure-remote-rendering-asset-tool
cpp azure/fluentd-plugin-mdsd
cpp azure/msccl-scheduler
cpp dotnet/android-native-tools
cpp dynatrace/ufo-esp32
cpp facebook/spirv-headers
cpp facebook/transform360
cpp facebookincubator/fbjni
cpp facebookincubator/fbx2gltf
cpp facebookincubator/my_enum
cpp facebookincubator/obs-plugins
cpp facebookincubator/rush
cpp facebookincubator/safec
cpp facebookincubator/strobelight
cpp google/aegis_cipher
cpp google/aistreamer
cpp google/array_record
cpp google/biva
cpp google/bloaty
cpp google/cairn
cpp google/cast-moderator-centipede
cpp google/cctz
cpp google/cpp-async-rpc
cpp google/cppdap
cpp google/cpu_features
cpp google/cpu-check
cpp google/crc32c
cpp google/cwisstable
cpp google/effcee
cpp google/eidos-audition
cpp google/flutter-desktop-embedding
cpp google/foteli
cpp google/fuse-archive
cpp google/gf-layers
cpp google/guetzli
cpp google/gutil
cpp google/highwayhash
cpp google/hintless_pir
cpp google/hotels-template-library
cpp google/ihmehimmeli
cpp google/imt
cpp google/ink-stroke-modeler
cpp google/integers
cpp google/jwt_verify_lib
cpp google/kati
cpp google/knusperli
cpp google/libprio-cc
cpp google/libprotobuf-mutator
cpp google/libprotobuf-mutator-asn1
cpp google/libtrusttoken
cpp google/llpatch
cpp google/lyra
